outdoor_temp,outdoor_humidity,indoor_temp,ac_status,ac_target_temp,indoor_temp_next_hour
38.767857660247905,78.5595153449124,21.745401188473625,0,,23.447646835651053
29.921253948662176,55.66662022828729,23.447646835651053,0,,24.095007546952164
16.452090304204987,89.29409166199481,24.095007546952164,1,22.571467271687762,23.028529354267082
31.27221182372132,24.51292632216802,23.028529354267082,1,25.329770563201688,24.639398200521306
20.308477766956905,34.54599737656805,24.639398200521306,0,,24.206306157164867
30.437037740692915,68.93225283906247,24.206306157164867,0,,24.829379315517674
25.798625466052894,43.298331215843355,24.829379315517674,0,,24.926303930571194
24.99652429288139,23.733253057089236,24.926303930571194,1,23.46544737317477,23.903704340393695
26.4017496054259,82.81407691144109,23.903704340393695,0,,24.153508866896914
24.56154978167907,98.65847086454306,24.153508866896914,0,,24.19431295837513
16.161260317999943,68.60358815211507,24.19431295837513,0,,23.39100769433761
26.262481299238573,21.061196892789322,23.39100769433761,0,,23.678155054827705
39.14080082686398,84.67178784931689,23.678155054827705,0,,25.22441963203133
15.399156305505354,38.47150604977192,25.22441963203133,1,23.760609974958406,24.199752872080282
18.05095587111947,59.614152808901615,24.199752872080282,0,,23.5848731719842
19.3341163376943,51.28484860585927,23.5848731719842,1,24.65008913741593,24.330524347786408
22.792776902235275,61.605441694224865,24.330524347786408,1,24.270801311279968,24.2887182222319
15.782832311388965,87.38278196759988,24.2887182222319,1,25.757995766256755,25.317212503049298
37.37068376069122,67.83199830488681,25.317212503049298,1,23.306163075223342,23.90947790357113
29.261099360134985,61.666740802065895,23.90947790357113,1,23.301321323053056,23.483768297208478
24.71693224223705,41.70792254191167,23.483768297208478,0,,23.607084691711336
29.668779141596204,97.22042458113104,23.607084691711336,1,24.170784332632994,24.001674440356496
18.523105624369066,84.17575846032318,24.001674440356496,0,,23.453817558757752
15.390910168529848,53.87211845650957,23.453817558757752,0,,22.64752681973496
19.96789203835431,20.441769369888192,22.64752681973496,0,,22.379563341596896
19.97106010222013,76.907356219892,22.379563341596896,0,,22.13871301765922
34.281758667148644,25.92357213872723,22.13871301765922,0,,23.353017582608164
31.27692563754861,93.19677404350246,23.353017582608164,0,,24.145408388102208
30.58245317068895,46.471841988211935,24.145408388102208,1,23.483273008793066,23.68191362258581
31.72103131659018,73.27378852939972,23.68191362258581,1,24.55022988542085,24.28973500657034
37.18031856440817,57.777194012955945,24.28973500657034,0,,25.578793362354123
39.292802384727594,87.91310594128672,25.578793362354123,0,,26.95019426459147
29.031929939237408,81.67737439636488,26.95019426459147,0,,27.158367832056065
16.010839738460785,76.85303117486299,27.158367832056065,1,22.101676506976382,23.618683904500287
17.69728567483261,22.51433485493874,23.618683904500287,0,,23.02654408153352
26.884255579552793,65.06204575811068,23.02654408153352,1,25.630265895704373,24.849149351453118
21.232305728721872,52.830633842850375,24.849149351453118,0,,24.487464989179994
20.076530618369233,95.42828564463848,24.487464989179994,0,,24.04637155209892
22.2437863228442,32.897702980320354,24.04637155209892,1,24.497416192535173,24.362102800404298
22.390842145942848,28.43954078642165,24.362102800404298,1,25.214688307596457,24.95891265543881
19.664251472150895,91.40471987919823,24.95891265543881,0,,24.429446537110017
23.10862552513185,29.767036376053866,24.429446537110017,0,,24.2973644359122
22.950086874296595,28.80415396221414,24.2973644359122,0,,24.16263667975064
31.192253013534057,20.041630159625264,24.16263667975064,0,,24.86559831312898
